,Date,State,Confirmed,Recovered,Deceased,Other,Tested
808,2020-04-09,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,80.0
842,2020-04-10,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,130.0
876,2020-04-11,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,211.0
910,2020-04-12,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,211.0
944,2020-04-13,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,211.0
979,2020-04-14,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,211.0
1014,2020-04-15,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,356.0
1049,2020-04-16,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,382.0
1084,2020-04-17,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,382.0
1119,2020-04-18,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,382.0
1154,2020-04-19,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,382.0
1189,2020-04-20,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,382.0
1224,2020-04-21,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,474.0
1259,2020-04-22,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,674.0
1294,2020-04-23,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,913.0
1329,2020-04-24,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,913.0
1364,2020-04-25,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,1386.0
1399,2020-04-26,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,1901.0
1434,2020-04-27,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,2379.0
1469,2020-04-28,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,2379.0
1504,2020-04-29,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,2921.0
1539,2020-04-30,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,3464.0
1574,2020-05-01,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,4003.0
1609,2020-05-02,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,4003.0
1644,2020-05-03,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,4328.0
1679,2020-05-04,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,4434.0
1715,2020-05-05,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,4781.0
1751,2020-05-06,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,4967.0
1787,2020-05-07,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,5272.0
1823,2020-05-08,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,5430.0
1859,2020-05-09,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,5430.0
1895,2020-05-10,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,5581.0
1931,2020-05-11,Dadra and Nagar Haveli and Daman and Diu,1,0,0,0,5763.0
1967,2020-05-12,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,5977.0
2003,2020-05-13,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,6294.0
2039,2020-05-14,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,6554.0
2075,2020-05-15,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,6916.0
2111,2020-05-16,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,6916.0
2147,2020-05-17,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,7157.0
2183,2020-05-18,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,7571.0
2219,2020-05-19,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,7829.0
2256,2020-05-20,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,8137.0
2293,2020-05-21,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,8456.0
2330,2020-05-22,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0,8979.0
2367,2020-05-23,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,9298.0
2404,2020-05-24,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,9678.0
2441,2020-05-25,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,10085.0
2478,2020-05-26,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,10388.0
2515,2020-05-27,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,10872.0
2552,2020-05-28,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,11177.0
2589,2020-05-29,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,11477.0
2626,2020-05-30,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,11477.0
2663,2020-05-31,Dadra and Nagar Haveli and Daman and Diu,2,1,0,0,11477.0
2700,2020-06-01,Dadra and Nagar Haveli and Daman and Diu,3,1,0,0,11693.0
2737,2020-06-02,Dadra and Nagar Haveli and Daman and Diu,3,1,0,0,11693.0
2774,2020-06-03,Dadra and Nagar Haveli and Daman and Diu,11,1,0,0,12064.0
2811,2020-06-04,Dadra and Nagar Haveli and Daman and Diu,14,1,0,0,12375.0
2848,2020-06-05,Dadra and Nagar Haveli and Daman and Diu,14,1,0,0,13667.0
2885,2020-06-06,Dadra and Nagar Haveli and Daman and Diu,19,1,0,0,14780.0
2922,2020-06-07,Dadra and Nagar Haveli and Daman and Diu,20,2,0,0,15546.0
2959,2020-06-08,Dadra and Nagar Haveli and Daman and Diu,22,2,0,0,16277.0
2996,2020-06-09,Dadra and Nagar Haveli and Daman and Diu,24,2,0,0,16277.0
3033,2020-06-10,Dadra and Nagar Haveli and Daman and Diu,29,2,0,0,17179.0
3070,2020-06-11,Dadra and Nagar Haveli and Daman and Diu,30,2,0,0,17179.0
3107,2020-06-12,Dadra and Nagar Haveli and Daman and Diu,30,2,0,0,17179.0
3144,2020-06-13,Dadra and Nagar Haveli and Daman and Diu,35,2,0,0,17649.0
3181,2020-06-14,Dadra and Nagar Haveli and Daman and Diu,38,2,0,0,18445.0
3218,2020-06-15,Dadra and Nagar Haveli and Daman and Diu,38,2,0,0,23835.0
3255,2020-06-16,Dadra and Nagar Haveli and Daman and Diu,52,9,0,0,24492.0
3292,2020-06-17,Dadra and Nagar Haveli and Daman and Diu,57,12,0,0,25575.0
3329,2020-06-18,Dadra and Nagar Haveli and Daman and Diu,61,14,0,0,26752.0
3366,2020-06-19,Dadra and Nagar Haveli and Daman and Diu,75,14,0,0,26752.0
3403,2020-06-20,Dadra and Nagar Haveli and Daman and Diu,92,26,0,0,27617.0
3440,2020-06-21,Dadra and Nagar Haveli and Daman and Diu,97,27,0,0,27839.0
3477,2020-06-22,Dadra and Nagar Haveli and Daman and Diu,112,27,0,0,28364.0
3514,2020-06-23,Dadra and Nagar Haveli and Daman and Diu,121,27,0,1,29072.0
3551,2020-06-24,Dadra and Nagar Haveli and Daman and Diu,134,30,0,1,29403.0
3588,2020-06-25,Dadra and Nagar Haveli and Daman and Diu,154,38,0,1,30188.0
3625,2020-06-26,Dadra and Nagar Haveli and Daman and Diu,169,50,0,1,30602.0
3662,2020-06-27,Dadra and Nagar Haveli and Daman and Diu,184,56,0,1,31015.0
3699,2020-06-28,Dadra and Nagar Haveli and Daman and Diu,188,69,0,1,31321.0
3736,2020-06-29,Dadra and Nagar Haveli and Daman and Diu,203,75,0,1,31602.0
3773,2020-06-30,Dadra and Nagar Haveli and Daman and Diu,213,82,0,1,32031.0
3810,2020-07-01,Dadra and Nagar Haveli and Daman and Diu,229,109,0,1,32435.0
3847,2020-07-02,Dadra and Nagar Haveli and Daman and Diu,254,112,0,1,32834.0
3884,2020-07-03,Dadra and Nagar Haveli and Daman and Diu,304,133,0,1,33618.0
3921,2020-07-04,Dadra and Nagar Haveli and Daman and Diu,341,142,0,1,33995.0
3958,2020-07-05,Dadra and Nagar Haveli and Daman and Diu,373,159,0,3,34179.0
3995,2020-07-06,Dadra and Nagar Haveli and Daman and Diu,400,175,0,3,34444.0
4032,2020-07-07,Dadra and Nagar Haveli and Daman and Diu,427,185,1,3,34761.0
4069,2020-07-08,Dadra and Nagar Haveli and Daman and Diu,442,196,1,4,35234.0
4106,2020-07-09,Dadra and Nagar Haveli and Daman and Diu,456,206,1,4,35391.0
4143,2020-07-10,Dadra and Nagar Haveli and Daman and Diu,470,225,1,4,35829.0
4180,2020-07-11,Dadra and Nagar Haveli and Daman and Diu,484,237,1,7,36166.0
4217,2020-07-12,Dadra and Nagar Haveli and Daman and Diu,500,268,1,7,36310.0
4254,2020-07-13,Dadra and Nagar Haveli and Daman and Diu,525,310,1,7,36621.0
4291,2020-07-14,Dadra and Nagar Haveli and Daman and Diu,541,343,1,7,36905.0
4328,2020-07-15,Dadra and Nagar Haveli and Daman and Diu,558,371,2,7,37392.0
4365,2020-07-16,Dadra and Nagar Haveli and Daman and Diu,576,392,2,7,37880.0
4402,2020-07-17,Dadra and Nagar Haveli and Daman and Diu,608,414,2,8,38176.0
4439,2020-07-18,Dadra and Nagar Haveli and Daman and Diu,653,436,2,10,38313.0
4476,2020-07-19,Dadra and Nagar Haveli and Daman and Diu,690,450,2,10,38640.0
4512,2020-07-20,Dadra and Nagar Haveli and Daman and Diu,711,465,2,10,38880.0
4548,2020-07-21,Dadra and Nagar Haveli and Daman and Diu,739,475,2,10,39199.0
4584,2020-07-22,Dadra and Nagar Haveli and Daman and Diu,775,490,2,10,39199.0
4620,2020-07-23,Dadra and Nagar Haveli and Daman and Diu,820,513,2,10,39199.0
4656,2020-07-24,Dadra and Nagar Haveli and Daman and Diu,864,531,2,10,40425.0
4692,2020-07-25,Dadra and Nagar Haveli and Daman and Diu,901,544,2,10,40881.0
4728,2020-07-26,Dadra and Nagar Haveli and Daman and Diu,950,565,2,10,41143.0
4764,2020-07-27,Dadra and Nagar Haveli and Daman and Diu,986,597,2,11,41143.0
4800,2020-07-28,Dadra and Nagar Haveli and Daman and Diu,1030,648,2,11,41588.0
4836,2020-07-29,Dadra and Nagar Haveli and Daman and Diu,1068,667,2,11,41895.0
4872,2020-07-30,Dadra and Nagar Haveli and Daman and Diu,1103,684,2,11,42148.0
4908,2020-07-31,Dadra and Nagar Haveli and Daman and Diu,1149,725,2,10,42403.0
4944,2020-08-01,Dadra and Nagar Haveli and Daman and Diu,1194,755,2,10,42635.0
4980,2020-08-02,Dadra and Nagar Haveli and Daman and Diu,1249,804,2,11,42718.0
5016,2020-08-03,Dadra and Nagar Haveli and Daman and Diu,1284,866,2,10,42926.0
5052,2020-08-04,Dadra and Nagar Haveli and Daman and Diu,1327,920,2,10,43191.0
5088,2020-08-05,Dadra and Nagar Haveli and Daman and Diu,1372,961,2,10,43478.0
5124,2020-08-06,Dadra and Nagar Haveli and Daman and Diu,1415,997,2,10,43899.0
5160,2020-08-07,Dadra and Nagar Haveli and Daman and Diu,1459,1038,2,10,44456.0
5196,2020-08-08,Dadra and Nagar Haveli and Daman and Diu,1510,1089,2,10,44777.0
5232,2020-08-09,Dadra and Nagar Haveli and Daman and Diu,1555,1117,2,12,45253.0
5268,2020-08-10,Dadra and Nagar Haveli and Daman and Diu,1617,1167,2,12,45724.0
5304,2020-08-11,Dadra and Nagar Haveli and Daman and Diu,1656,1208,2,12,46149.0
5340,2020-08-12,Dadra and Nagar Haveli and Daman and Diu,1695,1243,2,13,46516.0
5376,2020-08-13,Dadra and Nagar Haveli and Daman and Diu,1741,1281,2,13,46937.0
5412,2020-08-14,Dadra and Nagar Haveli and Daman and Diu,1782,1312,2,13,47272.0
5448,2020-08-15,Dadra and Nagar Haveli and Daman and Diu,1846,1384,2,14,47643.0
5484,2020-08-16,Dadra and Nagar Haveli and Daman and Diu,1881,1431,2,16,48212.0
5520,2020-08-17,Dadra and Nagar Haveli and Daman and Diu,1908,1480,2,16,48710.0
5556,2020-08-18,Dadra and Nagar Haveli and Daman and Diu,1959,1519,2,17,49290.0
5592,2020-08-19,Dadra and Nagar Haveli and Daman and Diu,1996,1567,2,17,49879.0
5628,2020-08-20,Dadra and Nagar Haveli and Daman and Diu,2030,1613,2,16,50293.0
5664,2020-08-21,Dadra and Nagar Haveli and Daman and Diu,2083,1652,2,18,50923.0
5700,2020-08-22,Dadra and Nagar Haveli and Daman and Diu,2123,1702,2,22,51285.0
5736,2020-08-23,Dadra and Nagar Haveli and Daman and Diu,2159,1744,2,22,51580.0
5772,2020-08-24,Dadra and Nagar Haveli and Daman and Diu,2177,1783,2,24,51843.0
5808,2020-08-25,Dadra and Nagar Haveli and Daman and Diu,2198,1816,2,24,52160.0
5844,2020-08-26,Dadra and Nagar Haveli and Daman and Diu,2220,1857,2,24,52524.0
5880,2020-08-27,Dadra and Nagar Haveli and Daman and Diu,2262,1913,2,25,52859.0
5916,2020-08-28,Dadra and Nagar Haveli and Daman and Diu,2293,1960,2,27,53227.0
5952,2020-08-29,Dadra and Nagar Haveli and Daman and Diu,2308,1989,2,29,53527.0
5988,2020-08-30,Dadra and Nagar Haveli and Daman and Diu,2340,2042,2,20,53769.0
6024,2020-08-31,Dadra and Nagar Haveli and Daman and Diu,2367,2081,2,20,54194.0
6060,2020-09-01,Dadra and Nagar Haveli and Daman and Diu,2386,2124,2,20,54566.0
6096,2020-09-02,Dadra and Nagar Haveli and Daman and Diu,2435,2143,2,19,54964.0
6132,2020-09-03,Dadra and Nagar Haveli and Daman and Diu,2467,2182,2,23,55345.0
6168,2020-09-04,Dadra and Nagar Haveli and Daman and Diu,2510,2204,2,24,55688.0
6204,2020-09-05,Dadra and Nagar Haveli and Daman and Diu,2537,2236,2,22,56008.0
6240,2020-09-06,Dadra and Nagar Haveli and Daman and Diu,2575,2263,2,23,56174.0
6276,2020-09-07,Dadra and Nagar Haveli and Daman and Diu,2590,2283,2,21,56476.0
6312,2020-09-08,Dadra and Nagar Haveli and Daman and Diu,2617,2315,2,20,56839.0
6348,2020-09-09,Dadra and Nagar Haveli and Daman and Diu,2643,2339,2,17,57220.0
6384,2020-09-10,Dadra and Nagar Haveli and Daman and Diu,2671,2368,2,18,57587.0
6420,2020-09-11,Dadra and Nagar Haveli and Daman and Diu,2696,2407,2,17,57888.0
6456,2020-09-12,Dadra and Nagar Haveli and Daman and Diu,2725,2437,2,23,58336.0
6492,2020-09-13,Dadra and Nagar Haveli and Daman and Diu,2745,2481,2,24,58530.0
6528,2020-09-14,Dadra and Nagar Haveli and Daman and Diu,2765,2506,2,24,59154.0
6564,2020-09-15,Dadra and Nagar Haveli and Daman and Diu,2783,2543,2,23,59530.0
6600,2020-09-16,Dadra and Nagar Haveli and Daman and Diu,2810,2566,2,23,59771.0
6636,2020-09-17,Dadra and Nagar Haveli and Daman and Diu,2831,2599,2,22,60237.0
6672,2020-09-18,Dadra and Nagar Haveli and Daman and Diu,2859,2630,2,25,60738.0
6708,2020-09-19,Dadra and Nagar Haveli and Daman and Diu,2887,2658,2,24,61270.0
6744,2020-09-20,Dadra and Nagar Haveli and Daman and Diu,2924,2674,2,26,61482.0
6780,2020-09-21,Dadra and Nagar Haveli and Daman and Diu,2933,2695,2,25,62055.0
6816,2020-09-22,Dadra and Nagar Haveli and Daman and Diu,2944,2725,2,24,62055.0
6852,2020-09-23,Dadra and Nagar Haveli and Daman and Diu,2962,2734,2,25,63047.0
6888,2020-09-24,Dadra and Nagar Haveli and Daman and Diu,2977,2760,2,25,63512.0
6924,2020-09-25,Dadra and Nagar Haveli and Daman and Diu,2989,2779,2,27,63512.0
6960,2020-09-26,Dadra and Nagar Haveli and Daman and Diu,2996,2804,2,27,64336.0
6996,2020-09-27,Dadra and Nagar Haveli and Daman and Diu,3002,2820,2,28,64691.0
7032,2020-09-28,Dadra and Nagar Haveli and Daman and Diu,3012,2850,2,27,65134.0
7068,2020-09-29,Dadra and Nagar Haveli and Daman and Diu,3032,2883,2,27,65539.0
7104,2020-09-30,Dadra and Nagar Haveli and Daman and Diu,3040,2902,2,27,65953.0
7140,2020-10-01,Dadra and Nagar Haveli and Daman and Diu,3054,2912,2,27,66337.0
7176,2020-10-02,Dadra and Nagar Haveli and Daman and Diu,3063,2933,2,26,66566.0
7212,2020-10-03,Dadra and Nagar Haveli and Daman and Diu,3070,2941,2,26,67029.0
7248,2020-10-04,Dadra and Nagar Haveli and Daman and Diu,3087,2954,2,26,67272.0
7284,2020-10-05,Dadra and Nagar Haveli and Daman and Diu,3092,2964,2,26,67666.0
7320,2020-10-06,Dadra and Nagar Haveli and Daman and Diu,3103,2973,2,26,68056.0
7356,2020-10-07,Dadra and Nagar Haveli and Daman and Diu,3120,2985,2,25,68466.0
7392,2020-10-08,Dadra and Nagar Haveli and Daman and Diu,3132,3000,2,25,68831.0
7428,2020-10-09,Dadra and Nagar Haveli and Daman and Diu,3140,3012,2,25,69192.0
7464,2020-10-10,Dadra and Nagar Haveli and Daman and Diu,3152,3025,2,25,69529.0
7500,2020-10-11,Dadra and Nagar Haveli and Daman and Diu,3163,3034,2,25,69785.0
7536,2020-10-12,Dadra and Nagar Haveli and Daman and Diu,3168,3039,2,25,69785.0
7572,2020-10-13,Dadra and Nagar Haveli and Daman and Diu,3168,3056,2,25,70514.0
7608,2020-10-14,Dadra and Nagar Haveli and Daman and Diu,3171,3065,2,25,70815.0
7644,2020-10-15,Dadra and Nagar Haveli and Daman and Diu,3172,3073,2,25,71144.0
7680,2020-10-16,Dadra and Nagar Haveli and Daman and Diu,3177,3084,2,25,71386.0
7716,2020-10-17,Dadra and Nagar Haveli and Daman and Diu,3180,3094,2,25,71664.0
7752,2020-10-18,Dadra and Nagar Haveli and Daman and Diu,3183,3102,2,25,71807.0
7788,2020-10-19,Dadra and Nagar Haveli and Daman and Diu,3185,3115,2,25,72136.0
7824,2020-10-20,Dadra and Nagar Haveli and Daman and Diu,3194,3128,2,25,72410.0
7860,2020-10-21,Dadra and Nagar Haveli and Daman and Diu,3207,3136,2,25,72410.0
7896,2020-10-22,Dadra and Nagar Haveli and Daman and Diu,3213,3137,2,26,72410.0
7932,2020-10-23,Dadra and Nagar Haveli and Daman and Diu,3219,3140,2,26,72410.0
7968,2020-10-24,Dadra and Nagar Haveli and Daman and Diu,3223,3144,2,26,72410.0
8004,2020-10-25,Dadra and Nagar Haveli and Daman and Diu,3226,3146,2,26,72410.0
8040,2020-10-26,Dadra and Nagar Haveli and Daman and Diu,3226,3147,2,26,72410.0
8076,2020-10-27,Dadra and Nagar Haveli and Daman and Diu,3229,3152,2,26,72410.0
8112,2020-10-28,Dadra and Nagar Haveli and Daman and Diu,3235,3155,2,26,72410.0
8148,2020-10-29,Dadra and Nagar Haveli and Daman and Diu,3241,3163,2,26,72410.0
8184,2020-10-30,Dadra and Nagar Haveli and Daman and Diu,3246,3168,2,26,72410.0
8220,2020-10-31,Dadra and Nagar Haveli and Daman and Diu,3249,3181,2,26,72410.0
8256,2020-11-01,Dadra and Nagar Haveli and Daman and Diu,3251,3185,2,26,72410.0
8292,2020-11-02,Dadra and Nagar Haveli and Daman and Diu,3255,3193,2,26,72410.0
8328,2020-11-03,Dadra and Nagar Haveli and Daman and Diu,3255,3195,2,26,72410.0
8364,2020-11-04,Dadra and Nagar Haveli and Daman and Diu,3259,3197,2,26,72410.0
8400,2020-11-05,Dadra and Nagar Haveli and Daman and Diu,3263,3199,2,26,72410.0
8436,2020-11-06,Dadra and Nagar Haveli and Daman and Diu,3268,3202,2,27,72410.0
8472,2020-11-07,Dadra and Nagar Haveli and Daman and Diu,3269,3208,2,27,72410.0
8508,2020-11-08,Dadra and Nagar Haveli and Daman and Diu,3269,3215,2,27,72410.0
8544,2020-11-09,Dadra and Nagar Haveli and Daman and Diu,3269,3218,2,27,72410.0
8580,2020-11-10,Dadra and Nagar Haveli and Daman and Diu,3270,3222,2,27,72410.0
8616,2020-11-11,Dadra and Nagar Haveli and Daman and Diu,3270,3224,2,27,72410.0
8652,2020-11-12,Dadra and Nagar Haveli and Daman and Diu,3273,3224,2,27,72410.0
8688,2020-11-13,Dadra and Nagar Haveli and Daman and Diu,3276,3227,2,27,72410.0
8724,2020-11-14,Dadra and Nagar Haveli and Daman and Diu,3280,3230,2,27,72410.0
8760,2020-11-15,Dadra and Nagar Haveli and Daman and Diu,3286,3234,2,29,72410.0
8796,2020-11-16,Dadra and Nagar Haveli and Daman and Diu,3289,3236,2,29,72410.0
8832,2020-11-17,Dadra and Nagar Haveli and Daman and Diu,3292,3237,2,29,72410.0
8868,2020-11-18,Dadra and Nagar Haveli and Daman and Diu,3300,3237,2,29,72410.0
8904,2020-11-19,Dadra and Nagar Haveli and Daman and Diu,3302,3237,2,29,72410.0
8940,2020-11-20,Dadra and Nagar Haveli and Daman and Diu,3311,3238,2,29,72410.0
8976,2020-11-21,Dadra and Nagar Haveli and Daman and Diu,3312,3239,2,29,72410.0
9012,2020-11-22,Dadra and Nagar Haveli and Daman and Diu,3316,3243,2,29,72410.0
9048,2020-11-23,Dadra and Nagar Haveli and Daman and Diu,3320,3246,2,29,72410.0
9084,2020-11-24,Dadra and Nagar Haveli and Daman and Diu,3320,3249,2,29,72410.0
9120,2020-11-25,Dadra and Nagar Haveli and Daman and Diu,3322,3253,2,29,72410.0
9156,2020-11-26,Dadra and Nagar Haveli and Daman and Diu,3323,3256,2,29,72410.0
9192,2020-11-27,Dadra and Nagar Haveli and Daman and Diu,3325,3264,2,29,72410.0
9228,2020-11-28,Dadra and Nagar Haveli and Daman and Diu,3325,3268,2,29,72410.0
9264,2020-11-29,Dadra and Nagar Haveli and Daman and Diu,3327,3271,2,29,72410.0
9300,2020-11-30,Dadra and Nagar Haveli and Daman and Diu,3327,3277,2,29,72410.0
9336,2020-12-01,Dadra and Nagar Haveli and Daman and Diu,3329,3280,2,29,72410.0
9372,2020-12-02,Dadra and Nagar Haveli and Daman and Diu,3333,3285,2,29,72410.0
9408,2020-12-03,Dadra and Nagar Haveli and Daman and Diu,3333,3286,2,29,72410.0
9444,2020-12-04,Dadra and Nagar Haveli and Daman and Diu,3333,3288,2,29,72410.0
9480,2020-12-05,Dadra and Nagar Haveli and Daman and Diu,3335,3289,2,29,72410.0
9516,2020-12-06,Dadra and Nagar Haveli and Daman and Diu,3336,3290,2,29,72410.0
9552,2020-12-07,Dadra and Nagar Haveli and Daman and Diu,3340,3291,2,29,72410.0
9588,2020-12-08,Dadra and Nagar Haveli and Daman and Diu,3345,3293,2,29,72410.0
9624,2020-12-09,Dadra and Nagar Haveli and Daman and Diu,3348,3293,2,29,72410.0
9660,2020-12-10,Dadra and Nagar Haveli and Daman and Diu,3348,3294,2,29,72410.0
9696,2020-12-11,Dadra and Nagar Haveli and Daman and Diu,3349,3297,2,29,72410.0
